mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_pipeline_safety_reference_t49_part_190,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_part_190,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR Part 190,Maps 49 CFR Part 190 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_subpart_190_a,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_subpart_190_a,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR Part 190 Subpart A,Maps 49 CFR Part 190 Subpart A to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_1,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_1,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.1,Maps 49 CFR 190.1 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_3,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_3,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.3,Maps 49 CFR 190.3 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_5,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_5,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.5,Maps 49 CFR 190.5 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_7,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_7,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.7,Maps 49 CFR 190.7 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_9,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_9,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.9,Maps 49 CFR 190.9 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_11,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_11,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.11,Maps 49 CFR 190.11 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_13,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_13,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.13,Maps 49 CFR 190.13 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_subpart_190_b,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_subpart_190_b,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR Part 190 Subpart B,Maps 49 CFR Part 190 Subpart B to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_201,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_201,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.201,Maps 49 CFR 190.201 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_203,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_203,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.203,Maps 49 CFR 190.203 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_205,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_205,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.205,Maps 49 CFR 190.205 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_206,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_206,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.206,Maps 49 CFR 190.206 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_207,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_207,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.207,Maps 49 CFR 190.207 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_208,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_208,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.208,Maps 49 CFR 190.208 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_209,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_209,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.209,Maps 49 CFR 190.209 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_210,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_210,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.210,Maps 49 CFR 190.210 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_211,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_211,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.211,Maps 49 CFR 190.211 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_212,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_212,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.212,Maps 49 CFR 190.212 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_213,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_213,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.213,Maps 49 CFR 190.213 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_215,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_215,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.215,Maps 49 CFR 190.215 to title49.pipeline.safety_reference (reference).,false
map_title49_pipeline_safety_reference_t49_sec_190_217,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_217,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.217,Maps 49 CFR 190.217 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_219,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_219,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.219,Maps 49 CFR 190.219 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_221,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_221,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.221,Maps 49 CFR 190.221 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_223,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_223,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.223,Maps 49 CFR 190.223 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_225,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_225,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.225,Maps 49 CFR 190.225 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_227,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_227,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.227,Maps 49 CFR 190.227 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_229_190_231,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_229_190_231,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.229-190.231,Maps 49 CFR 190.229-190.231 to title49.pipeline.safety_reference (reference).,false
map_title49_pipeline_safety_reference_t49_sec_190_233,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_233,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.233,Maps 49 CFR 190.233 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_235,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_235,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.235,Maps 49 CFR 190.235 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_236,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_236,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.236,Maps 49 CFR 190.236 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_237,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_237,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.237,Maps 49 CFR 190.237 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_239,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_239,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.239,Maps 49 CFR 190.239 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_241,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_241,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.241,Maps 49 CFR 190.241 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_243,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_243,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.243,Maps 49 CFR 190.243 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_subpart_190_c,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_subpart_190_c,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR Part 190 Subpart C,Maps 49 CFR Part 190 Subpart C to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_291,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_291,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.291,Maps 49 CFR 190.291 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_293,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_293,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.293,Maps 49 CFR 190.293 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_subpart_190_d,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_subpart_190_d,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR Part 190 Subpart D,Maps 49 CFR Part 190 Subpart D to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_301,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_301,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.301,Maps 49 CFR 190.301 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_303,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_303,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.303,Maps 49 CFR 190.303 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_305,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_305,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.305,Maps 49 CFR 190.305 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_307,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_307,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.307,Maps 49 CFR 190.307 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_309,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_309,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.309,Maps 49 CFR 190.309 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_311,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_311,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.311,Maps 49 CFR 190.311 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_313,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_313,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.313,Maps 49 CFR 190.313 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_315,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_315,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.315,Maps 49 CFR 190.315 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_317,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_317,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.317,Maps 49 CFR 190.317 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_319,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_319,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.319,Maps 49 CFR 190.319 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_321,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_321,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.321,Maps 49 CFR 190.321 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_323,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_323,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.323,Maps 49 CFR 190.323 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_325,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_325,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.325,Maps 49 CFR 190.325 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_327,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_327,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.327,Maps 49 CFR 190.327 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_329,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_329,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.329,Maps 49 CFR 190.329 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_331,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_331,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.331,Maps 49 CFR 190.331 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_333,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_333,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.333,Maps 49 CFR 190.333 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_335,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_335,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.335,Maps 49 CFR 190.335 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_337,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_337,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.337,Maps 49 CFR 190.337 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_338,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_338,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.338,Maps 49 CFR 190.338 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_339,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_339,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.339,Maps 49 CFR 190.339 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_341,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_341,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.341,Maps 49 CFR 190.341 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_343,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_343,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.343,Maps 49 CFR 190.343 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_subpart_190_e,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_subpart_190_e,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR Part 190 Subpart E,Maps 49 CFR Part 190 Subpart E to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_401,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_401,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.401,Maps 49 CFR 190.401 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_403,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_403,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.403,Maps 49 CFR 190.403 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_405,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_405,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.405,Maps 49 CFR 190.405 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_407,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_407,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.407,Maps 49 CFR 190.407 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_409,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_409,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.409,Maps 49 CFR 190.409 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_190_411,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_190_411,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 190.411,Maps 49 CFR 190.411 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_part_191,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_part_191,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR Part 191,Maps 49 CFR Part 191 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_1,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_1,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.1,Maps 49 CFR 191.1 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_3,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_3,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.3,Maps 49 CFR 191.3 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_5,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_5,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.5,Maps 49 CFR 191.5 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_7,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_7,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.7,Maps 49 CFR 191.7 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_9,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_9,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.9,Maps 49 CFR 191.9 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_11,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_11,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.11,Maps 49 CFR 191.11 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_12,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_12,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.12,Maps 49 CFR 191.12 to title49.pipeline.safety_reference (reference).,false
map_title49_pipeline_safety_reference_t49_sec_191_13,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_13,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.13,Maps 49 CFR 191.13 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_15,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_15,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.15,Maps 49 CFR 191.15 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_17,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_17,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.17,Maps 49 CFR 191.17 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_21,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_21,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.21,Maps 49 CFR 191.21 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_22,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_22,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.22,Maps 49 CFR 191.22 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_23,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_23,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.23,Maps 49 CFR 191.23 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_25,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_25,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.25,Maps 49 CFR 191.25 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_191_29,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_191_29,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 191.29,Maps 49 CFR 191.29 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_app_part_191_a,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_app_part_191_a,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR Appendix A to Part 191,Maps 49 CFR Appendix A to Part 191 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_part_192,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_part_192,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR Part 192,Maps 49 CFR Part 192 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_subpart_192_a,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_subpart_192_a,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR Part 192 Subpart A,Maps 49 CFR Part 192 Subpart A to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_192_1,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_192_1,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 192.1,Maps 49 CFR 192.1 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_192_3,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_192_3,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 192.3,Maps 49 CFR 192.3 to title49.pipeline.safety_reference (reference).,true
map_title49_pipeline_safety_reference_t49_sec_192_5,compliance_key,phmsa_pipeline,title49.pipeline.safety_reference,1,t49_sec_192_5,ck_t49_pipeline_safety_reference,,,Title 49 Pipeline Safety Reference to 49 CFR 192.5,Maps 49 CFR 192.5 to title49.pipeline.safety_reference (reference).,true
